Date,Child,Total Animals Tested,Correctly Identified,Pronunciation Accuracy (%)
2024-02-08,Child 7,10,8,61.78
2024-02-08,Child 8,10,1,94.49
2024-02-08,Child 9,10,8,73.16
2024-02-08,Child 10,10,8,82.03
2024-02-09,Child 1,10,10,71.26
2024-02-09,Child 2,10,5,70.39
2024-02-09,Child 3,10,4,61.95
2024-02-09,Child 4,10,1,63.24
2024-02-09,Child 5,10,4,99.66
2024-02-09,Child 6,10,1,79.81
2024-02-09,Child 7,10,2,92.99
2024-02-09,Child 8,10,7,86.48
2024-02-09,Child 9,10,7,82.63
2024-02-09,Child 10,10,0,0.0
2024-02-10,Child 1,10,5,80.85
2024-02-10,Child 2,10,7,69.81
2024-02-10,Child 3,10,10,94.69
2024-02-10,Child 4,10,8,73.36
2024-02-10,Child 5,10,8,97.2
2024-02-10,Child 6,10,3,84.74
2024-02-10,Child 7,10,5,67.57
2024-02-10,Child 8,10,4,95.23
2024-02-10,Child 9,10,9,78.62
2024-02-10,Child 10,10,6,60.21
2024-02-11,Child 1,10,10,69.15
2024-02-11,Child 2,10,6,66.43
2024-02-11,Child 3,10,3,82.25
2024-02-11,Child 4,10,6,67.73
2024-02-11,Child 5,10,10,99.25
2024-02-11,Child 6,10,0,0.0
2024-02-11,Child 7,10,7,70.39
2024-02-11,Child 8,10,7,92.75
2024-02-11,Child 9,10,5,71.33
2024-02-11,Child 10,10,6,81.65
2024-02-12,Child 1,10,1,73.67
2024-02-12,Child 2,10,4,64.1
2024-02-12,Child 3,10,3,66.95
2024-02-12,Child 4,10,3,62.71
2024-02-12,Child 5,10,10,66.66
2024-02-12,Child 6,10,5,88.34
2024-02-12,Child 7,10,5,73.84
2024-02-12,Child 8,10,9,62.99
2024-02-12,Child 9,10,1,94.86
2024-02-12,Child 10,10,3,85.9
2024-02-13,Child 1,10,3,90.33
2024-02-13,Child 2,10,6,62.63
2024-02-13,Child 3,10,0,0.0
2024-02-13,Child 4,10,5,74.87
2024-02-13,Child 5,10,2,70.1
2024-02-13,Child 6,10,6,77.84
2024-02-13,Child 7,10,1,99.88
2024-02-13,Child 8,10,0,0.0
2024-02-13,Child 9,10,2,78.06
2024-02-13,Child 10,10,6,81.08
2024-02-14,Child 1,10,10,68.83
2024-02-14,Child 2,10,1,90.91
2024-02-14,Child 3,10,3,86.18
2024-02-14,Child 4,10,10,94.72
2024-02-14,Child 5,10,7,77.29
2024-02-14,Child 6,10,4,96.38
2024-02-14,Child 7,10,4,85.54
2024-02-14,Child 8,10,5,90.4
2024-02-14,Child 9,10,4,99.36
2024-02-14,Child 10,10,0,0.0
2024-02-15,Child 1,10,9,95.76
2024-02-15,Child 2,10,1,68.52
2024-02-15,Child 3,10,0,0.0
2024-02-15,Child 4,10,8,88.6
2024-02-15,Child 5,10,1,94.57
2024-02-15,Child 6,10,10,98.73
2024-02-15,Child 7,10,8,94.74
2024-02-15,Child 8,10,4,66.15
2024-02-15,Child 9,10,10,93.79
2024-02-15,Child 10,10,3,60.71
2024-02-16,Child 1,10,4,96.47
2024-02-16,Child 2,10,9,84.67
2024-02-16,Child 3,10,8,60.05
2024-02-16,Child 4,10,6,65.01
2024-02-16,Child 5,10,3,77.21
2024-02-16,Child 6,10,5,69.02
2024-02-16,Child 7,10,5,83.28
2024-02-16,Child 8,10,4,83.61
2024-02-16,Child 9,10,7,72.41
2024-02-16,Child 10,10,0,0.0
2024-02-17,Child 1,10,7,78.58
2024-02-17,Child 2,10,1,79.2
2024-02-17,Child 3,10,5,71.67
2024-02-17,Child 4,10,8,94.4
2024-02-17,Child 5,10,5,96.31
2024-02-17,Child 6,10,10,79.22
2024-02-17,Child 7,10,7,65.84
2024-02-17,Child 8,10,8,82.84
2024-02-17,Child 9,10,5,84.73
2024-02-17,Child 10,10,3,73.84
2024-02-18,Child 1,10,7,60.39
2024-02-18,Child 2,10,0,0.0
2024-02-18,Child 3,10,1,81.37
2024-02-18,Child 4,10,8,74.03
2024-02-18,Child 5,10,0,0.0
2024-02-18,Child 6,10,3,74.31
2024-02-18,Child 7,10,6,65.31
2024-02-18,Child 8,10,6,68.03
2024-02-18,Child 9,10,9,92.02
2024-02-18,Child 10,10,1,61.65
2024-02-19,Child 1,10,0,0.0
2024-02-19,Child 2,10,7,85.46
2024-02-19,Child 3,10,2,95.85
2024-02-19,Child 4,10,8,97.45
2024-02-19,Child 5,10,6,84.52
2024-02-19,Child 6,10,8,88.36
2024-02-19,Child 7,10,7,97.89
2024-02-19,Child 8,10,3,73.58
2024-02-19,Child 9,10,10,79.38
2024-02-19,Child 10,10,10,95.79
2024-02-20,Child 1,10,3,83.9
2024-02-20,Child 2,10,5,78.09
2024-02-20,Child 3,10,2,61.63
2024-02-20,Child 4,10,9,77.54
2024-02-20,Child 5,10,1,62.41
2024-02-20,Child 6,10,6,86.01
2024-02-20,Child 7,10,8,94.87
2024-02-20,Child 8,10,9,73.16
2024-02-20,Child 9,10,3,89.77
2024-02-20,Child 10,10,6,77.35
2024-02-21,Child 1,10,2,66.47
2024-02-21,Child 2,10,5,88.77
2024-02-21,Child 3,10,5,73.29
2024-02-21,Child 4,10,7,98.99
2024-02-21,Child 5,10,2,63.26
2024-02-21,Child 6,10,2,87.21
2024-02-21,Child 7,10,5,61.23
2024-02-21,Child 8,10,0,0.0
2024-02-21,Child 9,10,6,78.5
2024-02-21,Child 10,10,4,89.09
2024-02-22,Child 1,10,7,77.02
2024-02-22,Child 2,10,3,89.41
2024-02-22,Child 3,10,3,80.19
2024-02-22,Child 4,10,1,94.68
2024-02-22,Child 5,10,8,77.54
2024-02-22,Child 6,10,4,75.82
2024-02-22,Child 7,10,3,94.94
2024-02-22,Child 8,10,1,91.72
2024-02-22,Child 9,10,6,71.07
2024-02-22,Child 10,10,2,71.35
2024-02-23,Child 1,10,2,84.92
2024-02-23,Child 2,10,7,93.44
2024-02-23,Child 3,10,0,0.0
2024-02-23,Child 4,10,2,91.04
2024-02-23,Child 5,10,3,96.36
2024-02-23,Child 6,10,6,85.3
2024-02-23,Child 7,10,1,67.24
2024-02-23,Child 8,10,4,62.77
2024-02-23,Child 9,10,8,69.89
2024-02-23,Child 10,10,7,83.18
2024-02-24,Child 1,10,3,83.72
2024-02-24,Child 2,10,5,86.08
2024-02-24,Child 3,10,8,98.78
2024-02-24,Child 4,10,1,94.32
2024-02-24,Child 5,10,4,73.01
2024-02-24,Child 6,10,7,83.95
2024-02-24,Child 7,10,3,98.79
2024-02-24,Child 8,10,10,95.35
2024-02-24,Child 9,10,5,66.79
2024-02-24,Child 10,10,9,77.95
2024-02-25,Child 1,10,8,77.24
2024-02-25,Child 2,10,3,83.52
2024-02-25,Child 3,10,0,0.0
2024-02-25,Child 4,10,8,66.68
2024-02-25,Child 5,10,3,75.17
2024-02-25,Child 6,10,10,89.46
2024-02-25,Child 7,10,4,81.34
2024-02-25,Child 8,10,0,0.0
2024-02-25,Child 9,10,0,0.0
2024-02-25,Child 10,10,7,92.23
2024-02-26,Child 1,10,5,68.23
2024-02-26,Child 2,10,3,70.79
2024-02-26,Child 3,10,1,64.92
2024-02-26,Child 4,10,4,97.46
2024-02-26,Child 5,10,0,0.0
2024-02-26,Child 6,10,6,68.99
2024-02-26,Child 7,10,4,97.36
2024-02-26,Child 8,10,4,64.13
2024-02-26,Child 9,10,2,61.66
2024-02-26,Child 10,10,9,75.9
2024-02-27,Child 1,10,1,98.6
2024-02-27,Child 2,10,10,60.7
2024-02-27,Child 3,10,8,85.56
2024-02-27,Child 4,10,8,83.2
2024-02-27,Child 5,10,7,80.62
2024-02-27,Child 6,10,1,73.71
2024-02-27,Child 7,10,5,65.59
2024-02-27,Child 8,10,3,88.19
2024-02-27,Child 9,10,9,89.32
2024-02-27,Child 10,10,7,98.8
2024-02-28,Child 1,10,0,0.0
2024-02-28,Child 2,10,6,86.9
2024-02-28,Child 3,10,5,94.73
2024-02-28,Child 4,10,5,70.21
2024-02-28,Child 5,10,0,0.0
2024-02-28,Child 6,10,6,99.15
2024-02-28,Child 7,10,10,87.33
2024-02-28,Child 8,10,1,69.77
2024-02-28,Child 9,10,9,94.76
2024-02-28,Child 10,10,7,90.74
2024-02-29,Child 1,10,10,97.24
2024-02-29,Child 2,10,3,87.06
2024-02-29,Child 3,10,2,97.64
2024-02-29,Child 4,10,4,86.68
2024-02-29,Child 5,10,8,64.26
2024-02-29,Child 6,10,1,99.98
2024-02-29,Child 7,10,5,72.72
2024-02-29,Child 8,10,0,0.0
2024-02-29,Child 9,10,8,99.73
2024-02-29,Child 10,10,8,63.62
2024-03-01,Child 1,10,8,64.36
2024-03-01,Child 2,10,1,76.17
2024-03-01,Child 3,10,3,86.7
2024-03-01,Child 4,10,5,96.06
2024-03-01,Child 5,10,8,72.69
2024-03-01,Child 6,10,10,75.03
2024-03-01,Child 7,10,5,85.96
2024-03-01,Child 8,10,4,72.98
2024-03-01,Child 9,10,9,75.85
2024-03-01,Child 10,10,4,75.22
2024-03-02,Child 1,10,8,83.86
2024-03-02,Child 2,10,0,0.0
2024-03-02,Child 3,10,2,69.09
2024-03-02,Child 4,10,9,83.48
2024-03-02,Child 5,10,7,86.73
2024-03-02,Child 6,10,9,90.37
2024-03-02,Child 7,10,8,75.19
2024-03-02,Child 8,10,9,98.06
2024-03-02,Child 9,10,1,79.17
2024-03-02,Child 10,10,4,92.55
2024-03-03,Child 1,10,8,75.21
2024-03-03,Child 2,10,1,81.06
2024-03-03,Child 3,10,3,84.32
2024-03-03,Child 4,10,6,92.52
2024-03-03,Child 5,10,1,88.62
2024-03-03,Child 6,10,10,60.73
2024-03-03,Child 7,10,6,77.23
2024-03-03,Child 8,10,4,95.92
2024-03-03,Child 9,10,8,86.19
2024-03-03,Child 10,10,2,62.41
2024-03-04,Child 1,10,4,79.17
2024-03-04,Child 2,10,2,64.06
2024-03-04,Child 3,10,3,70.27
2024-03-04,Child 4,10,3,86.8
2024-03-04,Child 5,10,2,83.24
2024-03-04,Child 6,10,9,84.41
2024-03-04,Child 7,10,1,76.0
2024-03-04,Child 8,10,3,92.93
2024-03-04,Child 9,10,10,64.93
2024-03-04,Child 10,10,9,91.99
2024-03-05,Child 1,10,6,71.81
2024-03-05,Child 2,10,0,0.0
2024-03-05,Child 3,10,9,67.41
2024-03-05,Child 4,10,7,98.52
2024-03-05,Child 5,10,3,63.48
2024-03-05,Child 6,10,5,82.01
2024-03-05,Child 7,10,7,81.06
2024-03-05,Child 8,10,10,60.1
2024-03-05,Child 9,10,5,92.77
2024-03-05,Child 10,10,5,83.74
2024-03-06,Child 1,10,9,68.48
2024-03-06,Child 2,10,9,66.99
2024-03-06,Child 3,10,8,93.59
2024-03-06,Child 4,10,7,90.8
2024-03-06,Child 5,10,0,0.0
2024-03-06,Child 6,10,9,70.23
2024-03-06,Child 7,10,3,70.99
2024-03-06,Child 8,10,2,94.05
2024-03-06,Child 9,10,6,86.7
2024-03-06,Child 10,10,1,90.67
2024-03-07,Child 1,10,9,78.07
2024-03-07,Child 2,10,1,66.12
2024-03-07,Child 3,10,0,0.0
2024-03-07,Child 4,10,2,94.77
2024-03-07,Child 5,10,0,0.0
2024-03-07,Child 6,10,6,81.41
2024-03-07,Child 7,10,5,60.95
2024-03-07,Child 8,10,2,84.28
2024-03-07,Child 9,10,10,69.28
2024-03-07,Child 10,10,8,79.87
2024-03-08,Child 1,10,1,70.98
2024-03-08,Child 2,10,6,87.81
2024-03-08,Child 3,10,2,77.71
2024-03-08,Child 4,10,6,88.98
2024-03-08,Child 5,10,10,99.65
2024-03-08,Child 6,10,2,84.13
2024-03-08,Child 7,10,5,83.14
2024-03-08,Child 8,10,6,90.9
2024-03-08,Child 9,10,3,63.43
2024-03-08,Child 10,10,0,0.0
2024-03-09,Child 1,10,3,67.67
2024-03-09,Child 2,10,7,74.68
2024-03-09,Child 3,10,5,74.2
2024-03-09,Child 4,10,3,77.7
2024-03-09,Child 5,10,1,86.78
2024-03-09,Child 6,10,10,85.61
2024-03-09,Child 7,10,7,95.2
2024-03-09,Child 8,10,1,87.21
2024-03-09,Child 9,10,9,73.32
2024-03-09,Child 10,10,5,62.09
2024-03-10,Child 1,10,1,74.52
2024-03-10,Child 2,10,2,89.23
2024-03-10,Child 3,10,3,62.41
2024-03-10,Child 4,10,9,98.31
2024-03-10,Child 5,10,8,66.82
2024-03-10,Child 6,10,9,63.87
2024-03-10,Child 7,10,8,92.87
2024-03-10,Child 8,10,0,0.0
2024-03-10,Child 9,10,7,91.82
2024-03-10,Child 10,10,6,75.97
2024-03-11,Child 1,10,7,60.8
2024-03-11,Child 2,10,3,97.08
2024-03-11,Child 3,10,0,0.0
2024-03-11,Child 4,10,8,86.86
2024-03-11,Child 5,10,3,84.94
2024-03-11,Child 6,10,1,91.52
2024-03-11,Child 7,10,0,0.0
2024-03-11,Child 8,10,4,93.04
2024-03-11,Child 9,10,5,66.37
2024-03-11,Child 10,10,3,72.13
2024-03-12,Child 1,10,1,73.67
2024-03-12,Child 2,10,8,63.51
2024-03-12,Child 3,10,10,69.56
2024-03-12,Child 4,10,0,0.0
2024-03-12,Child 5,10,10,93.01
2024-03-12,Child 6,10,6,97.7
2024-03-12,Child 7,10,1,80.63
2024-03-12,Child 8,10,2,91.45
2024-03-12,Child 9,10,5,82.66
2024-03-12,Child 10,10,3,68.34
2024-03-13,Child 1,10,0,0.0
2024-03-13,Child 2,10,9,81.59
2024-03-13,Child 3,10,2,86.97
2024-03-13,Child 4,10,9,94.72
2024-03-13,Child 5,10,5,65.65
2024-03-13,Child 6,10,6,72.19
2024-03-13,Child 7,10,8,72.9
2024-03-13,Child 8,10,2,66.94
2024-03-13,Child 9,10,1,68.94
2024-03-13,Child 10,10,3,82.92
2024-03-14,Child 1,10,9,92.9
2024-03-14,Child 2,10,8,79.17
2024-03-14,Child 3,10,0,0.0
2024-03-14,Child 4,10,3,84.25
2024-03-14,Child 5,10,0,0.0
2024-03-14,Child 6,10,5,93.17
2024-03-14,Child 7,10,3,80.1
2024-03-14,Child 8,10,8,93.01
2024-03-14,Child 9,10,4,64.87
2024-03-14,Child 10,10,4,61.03
2024-03-15,Child 1,10,8,69.3
2024-03-15,Child 2,10,3,77.58
2024-03-15,Child 3,10,5,60.01
2024-03-15,Child 4,10,10,84.78
2024-03-15,Child 5,10,6,66.08
2024-03-15,Child 6,10,2,82.58
2024-03-15,Child 7,10,1,78.39
2024-03-15,Child 8,10,1,79.38
2024-03-15,Child 9,10,1,62.31
2024-03-15,Child 10,10,7,71.89
2024-03-16,Child 1,10,6,69.57
2024-03-16,Child 2,10,2,62.99
2024-03-16,Child 3,10,2,67.11
2024-03-16,Child 4,10,0,0.0
2024-03-16,Child 5,10,3,85.33
2024-03-16,Child 6,10,7,92.56
2024-03-16,Child 7,10,6,68.83
2024-03-16,Child 8,10,3,86.23
2024-03-16,Child 9,10,5,77.04
2024-03-16,Child 10,10,4,95.46
2024-03-17,Child 1,10,2,74.71
2024-03-17,Child 2,10,5,93.1
2024-03-17,Child 3,10,4,75.48
2024-03-17,Child 4,10,4,60.44
2024-03-17,Child 5,10,1,65.35
2024-03-17,Child 6,10,4,60.77
2024-03-17,Child 7,10,4,90.41
2024-03-17,Child 8,10,9,67.59
2024-03-17,Child 9,10,4,68.61
2024-03-17,Child 10,10,4,93.37
2024-03-18,Child 1,10,4,67.95
2024-03-18,Child 2,10,4,98.38
2024-03-18,Child 3,10,3,74.86
2024-03-18,Child 4,10,0,0.0
2024-03-18,Child 5,10,10,78.18
2024-03-18,Child 6,10,3,70.64
2024-03-18,Child 7,10,4,79.53
2024-03-18,Child 8,10,3,94.59
2024-03-18,Child 9,10,1,79.04
2024-03-18,Child 10,10,8,84.56
2024-03-19,Child 1,10,5,75.7
2024-03-19,Child 2,10,9,95.68
2024-03-19,Child 3,10,8,64.09
2024-03-19,Child 4,10,7,72.62
2024-03-19,Child 5,10,0,0.0
2024-03-19,Child 6,10,1,77.5
2024-03-19,Child 7,10,0,0.0
2024-03-19,Child 8,10,9,97.21
2024-03-19,Child 9,10,7,78.46
2024-03-19,Child 10,10,10,79.82
2024-03-20,Child 1,10,7,95.8
2024-03-20,Child 2,10,7,69.08
2024-03-20,Child 3,10,0,0.0
2024-03-20,Child 4,10,6,80.74
2024-03-20,Child 5,10,2,64.23
2024-03-20,Child 6,10,0,0.0
2024-03-20,Child 7,10,6,87.21
2024-03-20,Child 8,10,7,63.39
2024-03-20,Child 9,10,10,86.36
2024-03-20,Child 10,10,2,62.85
2024-03-21,Child 1,10,7,61.42
2024-03-21,Child 2,10,3,89.5
2024-03-21,Child 3,10,9,78.48
2024-03-21,Child 4,10,3,73.99
2024-03-21,Child 5,10,2,86.45
2024-03-21,Child 6,10,2,66.96
2024-03-21,Child 7,10,4,81.98
2024-03-21,Child 8,10,5,90.57
2024-03-21,Child 9,10,9,60.84
2024-03-21,Child 10,10,0,0.0
2024-03-22,Child 1,10,7,90.77
2024-03-22,Child 2,10,8,99.04
2024-03-22,Child 3,10,1,60.42
2024-03-22,Child 4,10,3,84.6
2024-03-22,Child 5,10,8,85.76
2024-03-22,Child 6,10,9,79.13
2024-03-22,Child 7,10,1,72.89
2024-03-22,Child 8,10,3,71.71
2024-03-22,Child 9,10,7,64.56
2024-03-22,Child 10,10,4,96.81
2024-03-23,Child 1,10,1,65.12
2024-03-23,Child 2,10,0,0.0
2024-03-23,Child 3,10,7,83.94
2024-03-23,Child 4,10,8,74.89
2024-03-23,Child 5,10,10,82.0
2024-03-23,Child 6,10,9,84.52
2024-03-23,Child 7,10,5,70.95
2024-03-23,Child 8,10,3,64.86
2024-03-23,Child 9,10,2,95.48
2024-03-23,Child 10,10,7,99.7
2024-03-24,Child 1,10,9,92.64
2024-03-24,Child 2,10,6,95.17
2024-03-24,Child 3,10,8,81.76
2024-03-24,Child 4,10,4,90.2
2024-03-24,Child 5,10,4,99.14
2024-03-24,Child 6,10,7,82.31
2024-03-24,Child 7,10,6,86.25
2024-03-24,Child 8,10,10,72.8
2024-03-24,Child 9,10,5,99.39
2024-03-24,Child 10,10,5,81.58
2024-03-25,Child 1,10,1,64.32
2024-03-25,Child 2,10,4,89.04
2024-03-25,Child 3,10,10,98.61
2024-03-25,Child 4,10,2,66.03
2024-03-25,Child 5,10,5,81.69
2024-03-25,Child 6,10,0,0.0
2024-03-25,Child 7,10,7,84.48
2024-03-25,Child 8,10,5,82.6
2024-03-25,Child 9,10,6,83.09
2024-03-25,Child 10,10,8,90.44
2024-03-26,Child 1,10,7,78.46
2024-03-26,Child 2,10,7,69.87
2024-03-26,Child 3,10,4,95.26
2024-03-26,Child 4,10,3,63.97
2024-03-26,Child 5,10,9,86.3
2024-03-26,Child 6,10,8,82.2
2024-03-26,Child 7,10,6,84.6
2024-03-26,Child 8,10,1,74.22
2024-03-26,Child 9,10,8,82.17
2024-03-26,Child 10,10,5,93.92
2024-03-27,Child 1,10,9,61.41
2024-03-27,Child 2,10,0,0.0
2024-03-27,Child 3,10,8,98.32
2024-03-27,Child 4,10,8,87.14
2024-03-27,Child 5,10,2,93.68
2024-03-27,Child 6,10,5,95.07
2024-03-27,Child 7,10,4,64.99
2024-03-27,Child 8,10,3,88.88
2024-03-27,Child 9,10,7,68.69
2024-03-27,Child 10,10,9,75.66
2024-03-28,Child 1,10,4,60.08
2024-03-28,Child 2,10,6,60.13
2024-03-28,Child 3,10,5,66.68
2024-03-28,Child 4,10,8,75.51
2024-03-28,Child 5,10,0,0.0
2024-03-28,Child 6,10,6,94.97
2024-03-28,Child 7,10,2,62.59
2024-03-28,Child 8,10,9,82.46
2024-03-28,Child 9,10,3,62.11
2024-03-28,Child 10,10,7,87.06
2024-03-29,Child 1,10,1,84.09
2024-03-29,Child 2,10,2,79.93
2024-03-29,Child 3,10,2,62.34
2024-03-29,Child 4,10,9,88.31
2024-03-29,Child 5,10,3,80.69
2024-03-29,Child 6,10,3,64.9
2024-03-29,Child 7,10,0,0.0
2024-03-29,Child 8,10,6,69.43
2024-03-29,Child 9,10,3,62.5
2024-03-29,Child 10,10,10,90.66
2024-03-30,Child 1,10,8,97.32
2024-03-30,Child 2,10,0,0.0
2024-03-30,Child 3,10,0,0.0
2024-03-30,Child 4,10,5,85.45
2024-03-30,Child 5,10,10,87.44
2024-03-30,Child 6,10,10,89.6
2024-03-30,Child 7,10,9,83.51
2024-03-30,Child 8,10,8,82.62
2024-03-30,Child 9,10,9,73.38
2024-03-30,Child 10,10,10,60.97
2024-03-31,Child 1,10,5,70.92
2024-03-31,Child 2,10,0,0.0
2024-03-31,Child 3,10,10,71.95
2024-03-31,Child 4,10,4,62.25
2024-03-31,Child 5,10,2,77.19
2024-03-31,Child 6,10,2,75.08
2024-03-31,Child 7,10,4,79.24
2024-03-31,Child 8,10,4,78.33
2024-03-31,Child 9,10,4,88.24
2024-03-31,Child 10,10,9,63.22
2024-04-01,Child 1,10,6,96.16
2024-04-01,Child 2,10,2,77.47
2024-04-01,Child 3,10,8,60.28
2024-04-01,Child 4,10,8,66.36
2024-04-01,Child 5,10,8,90.06
2024-04-01,Child 6,10,7,78.88
2024-04-01,Child 7,10,4,62.76
2024-04-01,Child 8,10,9,71.29
2024-04-01,Child 9,10,6,69.88
2024-04-01,Child 10,10,7,98.99
2024-04-02,Child 1,10,5,77.16
2024-04-02,Child 2,10,8,91.07
2024-04-02,Child 3,10,8,79.5
2024-04-02,Child 4,10,7,61.86
2024-04-02,Child 5,10,1,96.26
2024-04-02,Child 6,10,8,73.84
2024-04-02,Child 7,10,1,76.44
2024-04-02,Child 8,10,6,63.46
2024-04-02,Child 9,10,1,89.3
2024-04-02,Child 10,10,10,98.54
2024-04-03,Child 1,10,6,75.74
2024-04-03,Child 2,10,9,76.75
2024-04-03,Child 3,10,8,79.78
2024-04-03,Child 4,10,4,70.26
2024-04-03,Child 5,10,2,89.01
2024-04-03,Child 6,10,4,82.61
2024-04-03,Child 7,10,2,72.35
2024-04-03,Child 8,10,4,84.34
2024-04-03,Child 9,10,8,67.32
2024-04-03,Child 10,10,0,0.0
2024-04-04,Child 1,10,1,88.8
2024-04-04,Child 2,10,9,63.55
2024-04-04,Child 3,10,5,82.45
2024-04-04,Child 4,10,0,0.0
2024-04-04,Child 5,10,7,64.59
2024-04-04,Child 6,10,1,76.16
2024-04-04,Child 7,10,10,62.71
2024-04-04,Child 8,10,5,81.95
2024-04-04,Child 9,10,1,63.27
2024-04-04,Child 10,10,5,93.88
2024-04-05,Child 1,10,9,66.63
2024-04-05,Child 2,10,1,86.57
2024-04-05,Child 3,10,8,86.76
2024-04-05,Child 4,10,1,94.48
2024-04-05,Child 5,10,2,86.04
2024-04-05,Child 6,10,5,71.62
2024-04-05,Child 7,10,7,64.48
2024-04-05,Child 8,10,10,78.37
2024-04-05,Child 9,10,2,91.45
2024-04-05,Child 10,10,6,94.89
2024-04-06,Child 1,10,9,73.21
2024-04-06,Child 2,10,3,80.78
2024-04-06,Child 3,10,7,65.05
2024-04-06,Child 4,10,5,66.46
2024-04-06,Child 5,10,10,97.87
2024-04-06,Child 6,10,7,99.4
2024-04-06,Child 7,10,9,82.32
2024-04-06,Child 8,10,1,62.61
2024-04-06,Child 9,10,2,96.37
2024-04-06,Child 10,10,0,0.0
2024-04-07,Child 1,10,9,79.91
2024-04-07,Child 2,10,5,74.88
2024-04-07,Child 3,10,6,92.88
2024-04-07,Child 4,10,1,63.74
2024-04-07,Child 5,10,4,98.58
2024-04-07,Child 6,10,7,67.47
2024-04-07,Child 7,10,7,71.49
2024-04-07,Child 8,10,8,83.1
2024-04-07,Child 9,10,4,72.49
2024-04-07,Child 10,10,8,75.84
2024-04-08,Child 1,10,7,80.81
2024-04-08,Child 2,10,3,82.31
2024-04-08,Child 3,10,1,72.67
2024-04-08,Child 4,10,2,74.52
2024-04-08,Child 5,10,10,71.08
2024-04-08,Child 6,10,7,80.28
2024-04-08,Child 7,10,0,0.0
2024-04-08,Child 8,10,6,67.37
2024-04-08,Child 9,10,4,89.31
2024-04-08,Child 10,10,10,72.53
2024-04-09,Child 1,10,5,98.71
2024-04-09,Child 2,10,2,95.3
2024-04-09,Child 3,10,10,80.21
2024-04-09,Child 4,10,0,0.0
2024-04-09,Child 5,10,6,64.9
2024-04-09,Child 6,10,1,66.64
2024-04-09,Child 7,10,5,99.19
2024-04-09,Child 8,10,10,66.49
2024-04-09,Child 9,10,10,87.47
2024-04-09,Child 10,10,2,81.1
2024-04-10,Child 1,10,8,92.92
2024-04-10,Child 2,10,9,63.18
2024-04-10,Child 3,10,4,98.94
2024-04-10,Child 4,10,8,92.76
2024-04-10,Child 5,10,1,64.43
2024-04-10,Child 6,10,8,78.85
2024-04-10,Child 7,10,8,74.31
2024-04-10,Child 8,10,1,92.77
2024-04-10,Child 9,10,9,69.77
2024-04-10,Child 10,10,7,63.49
2024-04-11,Child 1,10,0,0.0
2024-04-11,Child 2,10,4,76.8
2024-04-11,Child 3,10,1,73.92
2024-04-11,Child 4,10,1,89.95
2024-04-11,Child 5,10,8,77.42
2024-04-11,Child 6,10,5,89.52
2024-04-11,Child 7,10,10,93.75
2024-04-11,Child 8,10,10,85.37
2024-04-11,Child 9,10,3,89.57
2024-04-11,Child 10,10,1,73.0
2024-04-12,Child 1,10,7,60.15
2024-04-12,Child 2,10,6,66.69
2024-04-12,Child 3,10,3,69.09
2024-04-12,Child 4,10,7,62.91
2024-04-12,Child 5,10,2,87.77
2024-04-12,Child 6,10,8,68.62
2024-04-12,Child 7,10,4,61.33
2024-04-12,Child 8,10,4,76.33
2024-04-12,Child 9,10,3,97.53
2024-04-12,Child 10,10,0,0.0
2024-04-13,Child 1,10,6,92.3
2024-04-13,Child 2,10,1,86.03
2024-04-13,Child 3,10,5,86.83
2024-04-13,Child 4,10,6,66.76
2024-04-13,Child 5,10,1,77.88
2024-04-13,Child 6,10,5,69.07
2024-04-13,Child 7,10,4,81.87
2024-04-13,Child 8,10,2,76.51
2024-04-13,Child 9,10,10,76.9
2024-04-13,Child 10,10,8,76.86
2024-04-14,Child 1,10,9,98.65
2024-04-14,Child 2,10,5,94.33
2024-04-14,Child 3,10,2,98.91
2024-04-14,Child 4,10,2,90.16
2024-04-14,Child 5,10,8,93.58
2024-04-14,Child 6,10,6,84.85
2024-04-14,Child 7,10,8,72.19
2024-04-14,Child 8,10,6,81.31
2024-04-14,Child 9,10,2,94.91
2024-04-14,Child 10,10,7,88.15
2024-04-15,Child 1,10,3,63.86
2024-04-15,Child 2,10,8,60.5
2024-04-15,Child 3,10,7,71.35
2024-04-15,Child 4,10,10,62.97
2024-04-15,Child 5,10,8,72.0
2024-04-15,Child 6,10,8,61.93
2024-04-15,Child 7,10,3,95.09
2024-04-15,Child 8,10,1,86.71
2024-04-15,Child 9,10,5,95.69
2024-04-15,Child 10,10,6,81.25
2024-04-16,Child 1,10,0,0.0
2024-04-16,Child 2,10,2,70.71
2024-04-16,Child 3,10,1,82.93
2024-04-16,Child 4,10,4,62.55
2024-04-16,Child 5,10,3,68.81
2024-04-16,Child 6,10,0,0.0
2024-04-16,Child 7,10,4,63.75
2024-04-16,Child 8,10,8,86.77
2024-04-16,Child 9,10,0,0.0
2024-04-16,Child 10,10,1,95.16
2024-04-17,Child 1,10,0,0.0
2024-04-17,Child 2,10,7,80.7
2024-04-17,Child 3,10,7,72.68
2024-04-17,Child 4,10,8,73.63
2024-04-17,Child 5,10,3,77.74
2024-04-17,Child 6,10,7,97.92
2024-04-17,Child 7,10,5,83.67
2024-04-17,Child 8,10,2,69.5
2024-04-17,Child 9,10,6,65.27
2024-04-17,Child 10,10,3,75.38
2024-04-18,Child 1,10,2,86.09
2024-04-18,Child 2,10,1,70.86
2024-04-18,Child 3,10,10,89.74
2024-04-18,Child 4,10,0,0.0
